Restaurant_ID,Restaurant_Name,City,Area,Cuisine_Type,Restaurant_Type,Price_Range,Rating,Total_Reviews,Avg_Delivery_Time_Min,Monthly_Orders,Avg_Order_Value_INR,Years_Active,Review_Sentiment_Score,Discount_Offered_Pct,On_Zomato,On_Swiggy,Staff_Count,Success_Score,Status,Monthly_Revenue,Revenue_Band,Dual_Platform,Sentiment_Category,Delivery_Speed,Rating_Band
R0001,Restaurant_1,Mumbai,Bandra,Fast Food,Delivery Only,Mid-range (₹200-₹500),2.8,889,63,2333,269,6.1,-0.74,0,Yes,Yes,35,25.8,Struggling,627577,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),<3.0
R0002,Restaurant_2,Kolkata,Salt Lake,Mughlai,Fine Dining,Premium (₹500-₹1000),4.5,103,68,753,894,4.5,-0.3,10,Yes,Yes,8,38.7,Closed,673182,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),4.0–4.5
R0003,Restaurant_3,Pune,Baner,Fast Food,Dine-in,Luxury (> ₹1000),3.8,3150,25,2361,480,8.4,0.31,20,Yes,Yes,5,65.0,Stable,1133280,Medium (5–15L),Both Platforms,Positive,Fast (<30 min),3.5–4.0
R0004,Restaurant_4,Chennai,T Nagar,Italian,Dine-in,Luxury (> ₹1000),3.2,3038,30,1616,543,2.5,-0.32,0,Yes,Yes,13,43.1,Struggling,877488,Medium (5–15L),Both Platforms,Negative,Fast (<30 min),3.0–3.5
R0005,Restaurant_5,Chennai,Mylapore,Street Food,Delivery Only,Premium (₹500-₹1000),4.6,508,34,231,1004,3.5,-0.32,10,Yes,Yes,44,48.4,Stable,231924,Low (<5L),Both Platforms,Negative,Normal (30–45 min),4.5+
R0006,Restaurant_6,Ahmedabad,Satellite,Fast Food,Delivery Only,Mid-range (₹200-₹500),4.4,4465,36,2494,618,9.0,-0.08,10,Yes,No,8,78.2,Thriving,1541292,High (>15L),Zomato Only,Neutral,Normal (30–45 min),4.0–4.5
R0007,Restaurant_7,Mumbai,Andheri,Chinese,Quick Service,Budget (< ₹200),3.5,4931,49,2267,437,9.7,0.75,0,Yes,Yes,44,57.8,Stable,990679,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),3.0–3.5
R0008,Restaurant_8,Chennai,Velachery,Chinese,Quick Service,Budget (< ₹200),4.9,2207,52,831,699,9.2,0.77,20,Yes,Yes,26,70.1,Thriving,580869,Medium (5–15L),Both Platforms,Positive,Slow (>45 min),4.5+
R0009,Restaurant_9,Delhi,Rohini,Biryani,Quick Service,Budget (< ₹200),2.8,3023,73,1359,425,1.1,0.78,0,Yes,No,7,42.5,Struggling,577575,Medium (5–15L),Zomato Only,Positive,Slow (>45 min),<3.0
R0010,Restaurant_10,Bangalore,Indiranagar,Mughlai,Fine Dining,Mid-range (₹200-₹500),3.2,3516,33,2308,953,7.4,-0.44,20,No,Yes,31,56.0,Stable,2199524,High (>15L),Swiggy Only,Negative,Normal (30–45 min),3.0–3.5
R0011,Restaurant_11,Ahmedabad,Navrangpura,Italian,Delivery Only,Budget (< ₹200),3.3,4869,55,1042,782,2.6,-0.67,0,Yes,Yes,5,50.3,Stable,814844,Medium (5–15L),Both Platforms,Negative,Slow (>45 min),3.0–3.5
R0012,Restaurant_12,Mumbai,Dadar,Italian,Cafe,Luxury (> ₹1000),3.0,1133,66,2438,770,5.0,0.61,30,Yes,Yes,9,37.8,Closed,1877260,High (>15L),Both Platforms,Positive,Slow (>45 min),<3.0
R0013,Restaurant_13,Kolkata,Ballygunge,North Indian,Dine-in,Budget (< ₹200),3.5,2829,71,547,434,2.3,0.17,10,No,Yes,20,36.0,Struggling,237398,Low (<5L),Swiggy Only,Neutral,Slow (>45 min),3.0–3.5
R0014,Restaurant_14,Mumbai,Colaba,Street Food,Dine-in,Budget (< ₹200),4.1,4478,73,160,1172,1.4,0.56,10,Yes,No,34,52.1,Stable,187520,Low (<5L),Zomato Only,Positive,Slow (>45 min),4.0–4.5
R0015,Restaurant_15,Kolkata,Park Street,Chinese,Quick Service,Budget (< ₹200),5.0,2222,70,1963,472,4.5,0.92,50,No,Yes,15,65.2,Stable,926536,Medium (5–15L),Swiggy Only,Positive,Slow (>45 min),4.5+
R0016,Restaurant_16,Delhi,Rohini,Street Food,Dine-in,Premium (₹500-₹1000),2.6,4835,50,2159,1121,8.6,-0.52,50,Yes,Yes,7,41.0,Struggling,2420239,High (>15L),Both Platforms,Negative,Slow (>45 min),<3.0
